Store,CompetitionDistance,StoreType_a,StoreType_b,StoreType_c,StoreType_d,Assortment_a,Assortment_b,Assortment_c,Promo2_0,Promo2_1,Promo_Jan,Promo_Feb,Promo_Mar,Promo_Apr,Promo_May,Promo_Jun,Promo_Jul,Promo_Aug,Promo_Sept,Promo_Oct,Promo_Nov,Promo_Dec,CompetitionDistance_log,CompMonth_sin,CompMonth_cos,PromoWeek_sin,PromoWeek_cos,CompetitionAgeMonths,Promo2AgeWeeks,CompetitionDistance_bin_Close,CompetitionDistance_bin_Far,CompetitionDistance_bin_Very_Far
11,6.8679744089702925,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.062800647975805,-0.5000000000000004,0.8660254037844384,0.12053668025532305,0.992708874098054,45,186,1,0,0
12,6.976348070447749,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.076480671432496,-1.0,-1.8369701987210297e-16,1.0,-1.6081226496766366e-16,23,278,1,0,0
13,5.739792912179234,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1.9080291992562277,-1.0,-1.8369701987210297e-16,-0.7485107481711011,0.6631226582407952,23,298,0,0,0
14,7.170888478512505,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.100577651859118,1.0,6.123233995736766e-17,-0.992708874098054,0.1205366802553232,17,199,1,0,0
15,8.321421586897879,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.232315147848897,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,65,225,0,1,0
16,8.092851027538384,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2074885034069283,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,1,0
17,3.9318256327243257,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.5957092304038698,-2.4492935982947064e-16,1.0,-3.216245299353273e-16,-1.0,116,265,0,0,0
18,9.535390480896702,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.3547401116757323,1.2246467991473532e-16,-1.0,0.992708874098054,-0.12053668025532288,62,173,0,0,1
19,8.083637203141548,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.206474685438453,-1.0,-1.8369701987210297e-16,0.46472317204376906,-0.8854560256532096,23,217,0,1,0
20,7.75833346749091,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.1700056434126114,0.49999999999999994,-0.8660254037844387,-0.992708874098054,0.1205366802553232,75,43,0,1,0
21,6.311734809152915,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9894805655993109,-0.8660254037844386,0.5000000000000001,-0.7485107481711011,0.6631226582407952,190,298,0,0,0
22,6.947937068614969,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.072912406768814,-1.0,-1.8369701987210297e-16,0.46472317204376906,-0.8854560256532096,23,165,1,0,0
23,8.309184527686298,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2310014964415203,-0.8660254037844385,-0.5000000000000004,0.992708874098054,-0.12053668025532288,120,225,0,1,0
24,8.431853144249223,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.244092593165725,1.0,6.123233995736766e-17,-0.992708874098054,0.1205366802553232,185,199,0,1,0
25,6.066108090103747,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9553098460324838,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,148,225,0,0,0
26,7.741099090035366,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1680359357696948,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,1,0,0
27,4.110873864173311,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.6313704001963978,0.49999999999999994,0.8660254037844387,0.5680647467311558,0.8229838658936564,127,234,0,0,0
28,7.090909822079984,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.0907411873032014,-0.8660254037844386,0.5000000000000001,0.6631226582407952,0.7485107481711011,10,25,1,0,0
29,7.682943169878292,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1613605460701373,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,1,0,0
30,3.713572066704308,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1.5504460211620947,0.8660254037844386,0.5000000000000001,0.9350162426854148,0.35460488704253557,18,73,0,0,0
31,9.19023970026918,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3214303700462113,-0.4999999999999997,-0.8660254037844388,0.992708874098054,-0.12053668025532288,37,225,0,0,1
32,7.976251943745623,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2.194582416985536,-1.0,-1.8369701987210297e-16,-0.7485107481711011,0.6631226582407952,23,298,0,1,0
33,7.186144304522325,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.102443006124258,0.49999999999999994,-0.8660254037844387,0.992708874098054,-0.12053668025532288,27,225,1,0,0
34,7.714677473800927,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1650086701174494,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,71,225,1,0,0
35,8.94389780251682,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.2969590768543937,-0.8660254037844386,0.5000000000000001,0.12053668025532305,0.992708874098054,178,186,0,0,1
36,6.293419278846481,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9869724729359572,1.2246467991473532e-16,-1.0,-0.992708874098054,0.1205366802553232,146,43,0,0,0
37,8.350193650720067,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2353970543930783,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,8,225,0,1,0
38,6.994849985833071,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.0787975826118283,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,100,225,1,0,0
39,5.564520407322694,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1.881679452127038,-0.8660254037844386,0.5000000000000001,-0.5680647467311556,-0.8229838658936566,106,104,0,0,0
40,5.198497031265826,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1.8243068483519838,-1.0,-1.8369701987210297e-16,-0.7485107481711011,0.6631226582407952,23,298,0,0,0
41,7.074116816197362,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.088663490519963,-1.0,-1.8369701987210297e-16,-0.5680647467311556,-0.8229838658936566,23,104,1,0,0
42,5.673323267171493,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.898117976801967,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,23,199,0,0,0
43,8.493105395887147,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.2505657873227176,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,23,306,0,1,0
44,6.293419278846481,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9869724729359572,1.2246467991473532e-16,-1.0,0.992708874098054,-0.12053668025532288,50,225,0,0,0
45,9.181014542594356,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.320524666529338,0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,18,225,0,0,1
46,7.090909822079984,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.0907411873032014,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,119,225,1,0,0
47,5.602118820879701,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.887390630978784,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,28,121,0,0,0
48,6.966967138613983,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.075303885702134,0.49999999999999994,-0.8660254037844387,0.992708874098054,-0.12053668025532288,39,225,1,0,0
49,9.798737961337055,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.379429271870292,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,95,225,0,0,1
50,8.74209519574531,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.276456207020586,-0.5000000000000004,0.8660254037844384,0.992708874098054,-0.12053668025532288,69,225,0,1,0
51,9.265869681768663,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.3288247698990228,-0.4999999999999997,-0.8660254037844388,0.8854560256532099,0.4647231720437686,25,230,0,0,1
52,6.111467339502679,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9617085993863232,0.8660254037844387,-0.4999999999999998,-1.0,-1.8369701987210297e-16,16,252,0,0,0
53,10.320914169043537,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.426651826497012,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
54,8.877800393882575,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2.29028985477543,-0.8660254037844385,-0.5000000000000004,0.5680647467311558,0.8229838658936564,12,130,0,0,1
55,6.580639137284949,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.025597515002669,-0.5000000000000004,0.8660254037844384,0.992708874098054,-0.12053668025532288,129,225,0,0,0
56,8.798001694924846,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.2821784562031864,1.0,6.123233995736766e-17,0.9350162426854148,0.35460488704253557,41,73,0,1,0
57,6.042632833682381,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9519820823132483,1.2246467991473532e-16,-1.0,0.992708874098054,-0.12053668025532288,14,225,0,0,0
58,8.901230352110781,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.2926590274096625,0.49999999999999994,-0.8660254037844387,-0.12053668025532283,-0.992708874098054,87,160,0,0,1
59,7.951911381854188,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.191867071703945,1.2246467991473532e-16,-1.0,0.992708874098054,-0.12053668025532288,98,225,0,1,0
60,8.61993026886735,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2638370160928565,-0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,70,225,0,1,0
61,5.860786223465865,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9258220450052628,-2.4492935982947064e-16,1.0,0.12053668025532305,0.992708874098054,92,186,0,0,0
62,7.62608275807238,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.154790492206105,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,1,0,0
63,8.216358332386156,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2.2209799847499845,1.2246467991473532e-16,-1.0,0.8229838658936565,-0.5680647467311557,62,273,0,1,0
64,10.023978030870753,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.4000727214237756,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,121,0,0,1
65,9.535390480896702,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.3547401116757323,0.49999999999999994,-0.8660254037844387,0.12053668025532305,0.992708874098054,63,186,0,0,1
66,8.94389780251682,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.2969590768543937,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,23,306,0,0,1
67,6.018593214496234,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9485628011601908,0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,114,225,0,0,0
68,5.525452939131784,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1.8757103667584751,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,23,152,0,0,0
69,7.030857476116121,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.0832913063318936,-1.0,-1.8369701987210297e-16,-0.992708874098054,0.1205366802553232,23,199,1,0,0
70,8.484876589939695,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2496985922258643,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,1,0
71,9.770013301136158,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.3767657261848196,-0.8660254037844385,-0.5000000000000004,-0.970941817426052,-0.23931566428755774,84,306,0,0,1
72,7.696667081526462,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.1629398581838375,-2.4492935982947064e-16,1.0,1.0,-1.6081226496766366e-16,68,278,1,0,0
73,7.409136443920128,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.129318786658012,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,83,225,1,0,0
74,5.802118375377063,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9172340894587216,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,0
75,10.018644921923576,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3995888308212225,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,20,225,0,0,1
76,9.901535648810883,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.388903664523716,1.0,6.123233995736766e-17,0.992708874098054,-0.12053668025532288,113,225,0,0,1
77,6.994849985833071,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.0787975826118283,-0.8660254037844385,-0.5000000000000004,0.9350162426854148,0.35460488704253557,72,73,1,0,0
78,8.163656176168432,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,2.215245244918433,-0.5000000000000004,0.8660254037844384,0.5680647467311558,0.8229838658936564,105,130,0,1,0
79,8.108021221376747,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2091554781698752,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,1,0
80,8.976009475021396,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3001831581589,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
81,7.771067086065406,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.171458473562204,1.0,6.123233995736766e-17,-0.992708874098054,0.1205366802553232,53,43,0,1,0
82,10.016414371391338,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.399386376132069,0.8660254037844387,-0.4999999999999998,-0.970941817426052,-0.23931566428755774,88,306,0,0,1
83,7.905072849498666,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1866210974491698,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,1,0
84,9.376786579611847,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3395712517364826,-0.8660254037844385,-0.5000000000000004,0.992708874098054,-0.12053668025532288,12,225,0,0,1
85,7.534228326274089,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.144084939302921,-0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,46,225,1,0,0
86,6.175867270105761,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1.9707236282233618,0.8660254037844386,0.5000000000000001,-0.5680647467311556,-0.8229838658936566,126,104,0,0,0
87,6.329720905522696,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9919374395287388,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,56,225,0,0,0
88,9.2771575450135,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3299237183895487,-0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,118,225,0,0,1
89,7.7752758464868625,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.171938204354923,-0.4999999999999997,-0.8660254037844388,-0.992708874098054,0.1205366802553232,133,43,0,1,0
90,5.802118375377063,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9172340894587216,-0.5000000000000004,0.8660254037844384,0.992708874098054,-0.12053668025532288,93,225,0,0,0
91,7.787796878181171,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.1733640407119066,-1.0,-1.8369701987210297e-16,-0.8854560256532096,-0.4647231720437691,23,204,0,1,0
92,5.484796933490655,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1.8694605040153234,-1.0,-1.8369701987210297e-16,-0.7485107481711011,0.6631226582407952,23,298,0,0,0
93,9.722624930978418,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.372355988633018,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
94,9.590214130417438,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.359930379467196,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
95,7.544861068658458,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.145330057647603,-0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,10,225,1,0,0
96,9.080345575359996,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.3105875453254057,0.8660254037844386,0.5000000000000001,-0.970941817426052,-0.23931566428755774,126,306,0,0,1
97,9.10286651367095,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.312819196814604,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
98,9.625161575008372,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.363224921754466,-2.4492935982947064e-16,1.0,0.12053668025532305,0.992708874098054,104,186,0,0,1
99,7.616283561580385,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.153653850359465,-0.5000000000000004,0.8660254037844384,0.46472317204376906,-0.8854560256532096,141,165,1,0,0
100,9.794286337492364,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.379016951312861,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,23,225,0,0,1
101,7.80016307039296,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.174770252038942,-1.0,-1.8369701987210297e-16,0.46472317204376906,-0.8854560256532096,23,165,0,1,0
102,5.017279836814924,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1.7946353028541102,-2.4492935982947064e-16,1.0,0.9350162426854148,0.35460488704253557,92,73,0,0,0
103,8.558527054909215,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2574336414384635,0.49999999999999994,-0.8660254037844387,0.992708874098054,-0.12053668025532288,3,225,0,1,0
104,5.968707559985366,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1.9414297785949048,1.2246467991473532e-16,-1.0,0.992708874098054,-0.12053668025532288,74,225,0,0,0
105,8.730851903519232,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.2753014466837813,-1.0,-1.8369701987210297e-16,0.35460488704253584,-0.9350162426854147,23,112,0,1,0
106,7.237778191923443,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.10873067066032,-0.8660254037844385,-0.5000000000000004,0.992708874098054,-0.12053668025532288,24,225,1,0,0
107,7.565793282428515,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1477767465681716,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,71,225,1,0,0
108,7.692113339595466,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1624161018392503,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,143,225,1,0,0
109,8.101980731853192,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2084920526786953,-0.5000000000000004,0.8660254037844384,0.992708874098054,-0.12053668025532288,57,225,0,1,0
110,10.749162668413938,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.463781975788249,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,28,225,0,0,1
111,8.973478148521036,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.299929384572158,-1.0,-1.8369701987210297e-16,-0.970941817426052,-0.23931566428755774,23,306,0,0,1
112,7.396948602621014,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.127868378261056,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,71,225,1,0,0
113,9.948986592607346,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3932469033592882,-0.5000000000000004,0.8660254037844384,0.992708874098054,-0.12053668025532288,189,225,0,0,1
114,8.414274137408396,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.2422270627385648,-1.0,-1.8369701987210297e-16,-0.4647231720437684,0.88545602565321,23,191,0,1,0
115,8.655388690167637,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.267516172984975,0.8660254037844387,-0.4999999999999998,-0.992708874098054,0.1205366802553232,100,43,0,1,0
116,6.523562306149512,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.0180397367202874,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,28,225,0,0,0
117,8.146419323098003,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.2133624718885856,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,47,225,0,1,0
118,8.183397369998433,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.217397220046077,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,35,225,0,1,0
119,7.650168700845001,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1575788237414684,0.8660254037844386,0.5000000000000001,0.992708874098054,-0.12053668025532288,66,225,1,0,0
120,7.736743682453495,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2.1675375438653024,-2.4492935982947064e-16,1.0,-0.970941817426052,-0.23931566428755774,8,306,1,0,0
121,8.18060094759445,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,2.2170926651907306,-0.5000000000000004,0.8660254037844384,-0.9350162426854147,-0.3546048870425359,69,99,0,1,0
122,10.972688194801409,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.482628072033735,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,28,225,0,0,1
123,9.726810038127258,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.3727462186980968,-1.0,-1.8369701987210297e-16,0.992708874098054,-0.12053668025532288,47,225,0,0,1
124,7.252053951852814,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.1104621332211777,0.8660254037844387,-0.4999999999999998,0.992708874098054,-0.12053668025532288,148,225,1,0,0
125,6.634633357861686,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,2.032694916281349,-2.4492935982947064e-16,1.0,0.992708874098054,-0.12053668025532288,116,225,1,0,0
